tache;projet;artefact;artefact_version;version_tache;environnement;moteur;en_pause;planifiee;type_declenchement;cron;fuseau;derniere_exec;statut_derniere_exec;nb_exec_fenetre;nb_ok_fenetre;nb_ko_fenetre;duree_moy_s;fenetre_depuis;comptage_tronque;systemes;protocole;ressource;code_int;connexions
INT_222_main_infor_ifs_ecriture_fa;IFS_Finance;INT_222_main_infor_ifs_ecriture_fa;0.1.1.20251709015420;1.1;PROD;CLOUD;OUI;OUI;CRON;7 7-11,14-20 ? * 2-6 *;Europe/Paris;;jamais execute;0;0;0;INCONNU;INCONNU;NON;IFS (API REST) + IFS (via blob GA) + Infor Syteline (via blob GA);REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/ListefacturesEnattentepaiement/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/XML/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Import/IN_ERPACK/";INT-222;Commun URL interfaces|Database_Connection|SFTP GA TLDIFS|SFTP GA TLDINFOR|all Commun var interfaces
job_tester_bdd_mntr;IFS_Finance;job_tester;0.1.0.20250910075439;1.2;PROD;CLOUD;OUI;NON;appel par un autre job / manuel;;;;jamais execute;0;0;0;INCONNU;INCONNU;NON;PostgreSQL;BDD + SFTP;INCONNU;INCONNU;Talend Monitoring
INT_189_sftp_ESKER_to_GA;IFS_Finance;INT_189_sftp_ESKER_to_GA;0.1.10.20263003034737;3.3;PROD;REMOTE_ENGINE;NON;NON;appel par un autre job / manuel;;;2026-08-17T09:51:59.766Z;EXECUTION_SUCCESS;600;600;0;7;2026-08-10;OUI;Esker + IFS (via blob GA) + Infor Syteline (via blob GA) + PostgreSQL;BDD + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE ; sftp-ne7.ondemand.esker.com:/Out_UnpaidInvoices/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/ListefacturesEnattentepaiement/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/XML/";INT-189;SFTP ESKER COMPTA|SFTP ESKER INFOR|SFTP GA COMPTA|SFTP GA TLDIFS|SFTP GA TLDINFOR|SFTP_ESKER_IFS|Talend Monitoring|all Commun var interfaces
INT_213_main_PaieGRH_IFS_ODANALYTIQUE;IFS_Finance;INT_213_main_PaieGRH_IFS_ODANALYTIQUE;0.2.1.20260804033916;2.1;PROD;REMOTE_ENGINE;NON;OUI;CRON;2/10 7-11,14-20 ? * 2-6 *;Europe/Paris;2026-08-17T09:51:59.279Z;EXECUTION_SUCCESS;600;600;0;7;2026-08-05;OUI;IFS (API REST) + Nibelis;REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/NIBELIS/NIBELIS/Archives/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/NIBELIS/NIBELIS/Export/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/PAIEGRH/Archives/";INT-213;Commun URL interfaces|Database_Connection|SFTP NIBELIS|all Commun var interfaces
INT_222_main_infor_ifs_AIH;IFS_Finance;INT_222_main_infor_ifs_AIH;0.1.36.20261206084718;12.11;PROD;REMOTE_ENGINE;NON;OUI;CRON;7/5 7-20 ? * 2-6 *;Europe/Paris;2026-08-17T09:57:00.319Z;EXECUTION_SUCCESS;600;597;3;7;2026-08-10;OUI;IFS (API REST) + IFS (via blob GA) + Infor Syteline (via blob GA) + PostgreSQL;BDD + REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/ListefacturesEnattentepaiement/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/XML/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Import/IN_ERPACK/";INT-222;Commun URL interfaces|Database_Connection|SFTP GA TLDIFS|SFTP GA TLDINFOR|Talend Monitoring|all Commun var interfaces
INT_233_main_ifs_esker_bnk_old;IFS_Finance;INT_233_main_ifs_esker_bnk;0.1.8.20240212090655;1.1;PROD;CLOUD;OUI;OUI;CRON;6 5,7,10,14,18 ? * 2-6 *;Europe/Paris;2026-07-03T12:06:00.221Z;EXECUTION_SUCCESS;57;46;11;7358;2026-06-18;NON;Esker + IFS (API REST);REST + SFTP;"sftp-ne7.ondemand.esker.com:/In_MasterData/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/IFS/Import/BankDetails/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/IFS/Import/Fournisseur/";INT-233;Commun URL interfaces|PARAM_IFS_ESKER_BNK|SFTP_ESKER_connexion_IFS_VENDORS|SFTP_TLDESKER|all Commun var interfaces
INT_193_main_expensya_Ifs_ndf;IFS_Finance;INT_193_main_expensya_Ifs_ndf;0.1.21.20252102091350;2.2;PROD;REMOTE_ENGINE;OUI;NON;appel par un autre job / manuel;;;2026-07-03T21:50:28.458Z;EXECUTION_SUCCESS;2;2;0;10;2026-07-03;NON;Expensya + IFS (API REST) + IFS (via blob GA);REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/EXPENSYA/Export/Ecritures_comptables/";INT-193;Commun URL interfaces|Database_Connection|SFTP EXPENSYA|SFTP GA TLDIFS|all Commun var interfaces
INT_217_Exfiles_IFS;IFS_Finance;INT_217_Exfiles_IFS;0.1.12.20262605095445;8.6;PROD;REMOTE_ENGINE;NON;OUI;CRON;10/10 8-11,14-21 ? * 2-6 *;Europe/Paris;2026-08-17T09:50:00.325Z;EXECUTION_SUCCESS;600;600;0;8;2026-08-03;OUI;IFS (API REST) + IFS (via blob GA) + PostgreSQL;BDD + REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE";INT-217;Commun URL interfaces|Database_Connection|Exfile INT 217|SFTP GA TLDIFS|Talend Monitoring|all Commun var interfaces
main_miseAjour_baseCorrespondance;IFS_Finance;main_miseAjour_baseCorrespondance;0.3.6.20253103033329;3.3;PROD;REMOTE_ENGINE;NON;NON;appel par un autre job / manuel;;;2026-08-13T14:13:32.755Z;EXECUTION_SUCCESS;10;7;3;38;2026-06-22;NON;INCONNU;INCONNU;INCONNU;INCONNU;Database_Connection|all Commun var interfaces
INT_217_Exfiles_IFS_old;IFS_Finance;INT_217_Exfiles_IFS;0.2.3.20251404101109;1.1;PROD;CLOUD;OUI;NON;appel par un autre job / manuel;;;;jamais execute;0;0;0;INCONNU;INCONNU;NON;IFS (API REST) + IFS (via blob GA);REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE";INT-217;Commun URL interfaces|Database_Connection|Exfile INT 217|SFTP GA TLDIFS|all Commun var interfaces
call_api_get_token;IFS_Finance;call_api_get_token;0.1.0.20241612085437;1.1;PROD;CLOUD;OUI;NON;appel par un autre job / manuel;;;;jamais execute;0;0;0;INCONNU;INCONNU;NON;IFS (API REST);REST;INCONNU;INCONNU;Commun URL interfaces|all Commun var interfaces
INT_253_Infor_esker_ERPACK;IFS_Finance;INT_253_Infor_esker_ERPACK;0.1.0.20260904034243;3.3;PROD;REMOTE_ENGINE;NON;OUI;CRON;5/10 7-11,14-20 ? * 2-6 *;Europe/Paris;2026-08-17T09:55:00.849Z;EXECUTION_SUCCESS;600;600;0;5;2026-08-05;OUI;Esker + Infor Syteline (via blob GA) + PostgreSQL;BDD + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/ListefacturesEnattentepaiement/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/XML/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Import/IN_ERPACK/ ; sftp-ne7.ondemand.esker.com:/ErpAck/ ; sftp-ne7.ondemand.esker.com:/In_MasterData/ ; sftp-ne7.ondemand.esker.com:/In_PaidInvoices/";INT-253;SFTP ESKER INFOR|SFTP GA TLDINFOR|Talend Monitoring
INT_225_main_infor_ifs_ecriture_vente;IFS_Finance;INT_225_main_infor_ifs_ecriture_vente;0.1.3.20262601023323;6.4;PROD;REMOTE_ENGINE;NON;OUI;CRON;0 13,18 ? * 2-6 *;Europe/Paris;2026-08-14T16:00:00.988Z;EXECUTION_SUCCESS;106;96;10;23;2026-06-18;NON;IFS (API REST) + IFS (via blob GA) + Infor Syteline (via blob GA);REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/ListefacturesEnattentepaiement/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/XML/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Import/IN_ERPACK/";INT-225;Commun URL interfaces|Database_Connection|SFTP GA TLDIFS|SFTP GA TLDINFOR|all Commun var interfaces
INT_199_main_sage_signature_regression;IFS_Finance;INT_199_main_sage_signature;0.1.4.20261505090646;3.3;PROD;REMOTE_ENGINE;OUI;OUI;CRON;3/5 7-20 ? * 2-6 *;Europe/Paris;2026-07-07T16:23:00.293Z;EXECUTION_TERMINATED;600;596;4;7;2026-07-02;OUI;IFS (via blob GA) + PostgreSQL;BDD + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE";INT-199;Database_Connection|SFTP GA TLDIFS|Talend Monitoring
clean_repo_INIT_233;IFS_Finance;clean_repo;0.1.6.20250210121024;4.4;PROD;CLOUD;OUI;OUI;CRON;40 13 ? * 2-6 *;Europe/Paris;2026-07-03T11:40:00.120Z;EXECUTION_SUCCESS;12;12;0;4;2026-06-18;NON;INCONNU;INCONNU;INCONNU;INCONNU;
INT_269_COMPTA_ESKER_Ecriture_et_Bordereaux_SST;IFS_Finance;INT_269_COMPTA_ESKER_Ecriture_et_Bordereaux_SST;0.1.1.20242811020449;1.1;PROD;CLOUD;OUI;OUI;CRON;5/10 7-11,14-20 ? * 2-6 *;Europe/Paris;;jamais execute;0;0;0;INCONNU;INCONNU;NON;Esker;SFTP;"sftp-ne7.ondemand.esker.com:/ErpAck/ ; sftp-ne7.ondemand.esker.com:/In_EcrituresBordereaux/ ; sftp-ne7.ondemand.esker.com:/In_PaidInvoices/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/COMPTA/Export/ListefacturesEnattentepaiement/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/COMPTA/Input/Bordereaux/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/COMPTA/Input/Ecritures/";INT-269;Database_Connection|SFTP GA COMPTA|SFTP_ESKER_IFS
clean_repo_cls;IFS_Finance;clean_repo;0.1.6.20250210121024;8.3;PROD;REMOTE_ENGINE;NON;OUI;CRON;0 13 ? * 2-6 *;Europe/Paris;2026-08-14T11:00:01.218Z;EXECUTION_SUCCESS;26;26;0;6;2026-06-18;NON;INCONNU;INCONNU;INCONNU;INCONNU;
INT_234_main_ifs_esker_statut_paiement;IFS_Finance;INT_234_main_ifs_esker_statut_paiement;0.1.14.20250310033015;8.9;PROD;REMOTE_ENGINE;NON;NON;appel par un autre job / manuel;;;2026-08-17T09:57:12.912Z;STARTING_FLOW_EXECUTION;600;599;0;39;2026-08-10;OUI;Esker + IFS (API REST) + IFS (via blob GA) + Infor Syteline (via blob GA);REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/ListefacturesEnattentepaiement/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/XML/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Import/IN_ERPACK/";INT-234;Commun URL interfaces|INT_234|SFTP ESKER INFOR|SFTP GA TLDIFS|SFTP GA TLDINFOR|SFTP_ESKER_IFS|all Commun var interfaces
INT_185_IFS_ESKER_Fournisseurs;IFS_Finance;INT_185_IFS_ESKER_Fournisseurs;0.1.13.20262906091613;8.13;PROD;REMOTE_ENGINE;NON;OUI;CRON;5 7,10,11,14,16 ? * 2-6 *;Europe/Paris;2026-08-17T09:04:59.414Z;EXECUTION_SUCCESS;220;216;4;1556;2026-06-18;NON;Esker + IFS (API REST) + PostgreSQL;BDD + REST + SFTP;"sftp-ne7.ondemand.esker.com:/In_MasterData/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/IFS/Import/BankDetails/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/IFS/Import/Fournisseur/";INT-185;Commun URL interfaces|SFTP_ESKER_connexion_IFS_VENDORS|SFTP_TLDESKER|Talend Monitoring|all Commun var interfaces|répertoire_fichiers_sortie
INT_255_Esker_Infor;IFS_Finance;INT_255_Esker_Infor;0.1.4.20261304081431;6.5;PROD;REMOTE_ENGINE;NON;OUI;CRON;5/10 8-11,14-21 ? * 2-6 *;Europe/Paris;2026-08-17T09:55:00.851Z;EXECUTION_SUCCESS;600;600;0;5;2026-08-05;OUI;Esker + IFS (via blob GA) + Infor Syteline (via blob GA) + PostgreSQL;BDD + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/ListefacturesEnattentepaiement/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/XML/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Import/IN_ERPACK/";INT-255;SFTP ESKER INFOR|SFTP GA TLDIFS|SFTP GA TLDINFOR|Talend Monitoring
INT_222_main_infor_ifs_ecriture_fa_old;IFS_Finance;INT_222_main_infor_ifs_ecriture_fa;0.4.4.20252105091153;3.3;PROD;CLOUD;OUI;OUI;CRON;7 7-11,14-20 ? * 2-6 *;Europe/Paris;;jamais execute;0;0;0;INCONNU;INCONNU;NON;IFS (API REST) + IFS (via blob GA) + Infor Syteline (via blob GA);REST + SFTP;"stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Export/Signature/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/CONNECT/Import/Exfiles/ARCHIVE ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/ListefacturesEnattentepaiement/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Export/XML/ ; stgprodsftpv2.blob.core.windows.net:/SFTPGANEW/ESKER/Infor/Import/IN_ERPACK/";INT-222;Commun URL interfaces|Database_Connection|SFTP GA TLDIFS|SFTP GA TLDINFOR|all Commun var interfaces
